Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2731","Bovine Meat","2000","2000","tonnes","49","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2731","Bovine Meat","2005","2005","tonnes","3642","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2731","Bovine Meat","2010","2010","tonnes","2397","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2744","Eggs","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2744","Eggs","2005","2005","tonnes","1392","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2744","Eggs","2010","2010","tonnes","12669","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2745","Honey","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2745","Honey","2005","2005","tonnes","66","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2745","Honey","2010","2010","tonnes","769","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2745","Honey","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2745","Honey","2005","2005","tonnes","24","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2745","Honey","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","3442","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","28449","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","133233","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5910","Export Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","20","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2734","Poultry Meat","2000","2000","tonnes","25","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2734","Poultry Meat","2005","2005","tonnes","23192","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","2","Afghanistan","5610","Import Quantity","2734","Poultry Meat","2010","2010","tonnes","38591","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2731","Bovine Meat","2000","2000","tonnes","1605","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2731","Bovine Meat","2005","2005","tonnes","7196","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2731","Bovine Meat","2010","2010","tonnes","3333","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2731","Bovine Meat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2731","Bovine Meat","2005","2005","tonnes","16","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2731","Bovine Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2744","Eggs","2000","2000","tonnes","2642","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2744","Eggs","2005","2005","tonnes","173","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2744","Eggs","2010","2010","tonnes","125","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2744","Eggs","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2744","Eggs","2005","2005","tonnes","656","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2744","Eggs","2010","2010","tonnes","3511","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2745","Honey","2000","2000","tonnes","19","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2745","Honey","2005","2005","tonnes","42","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2745","Honey","2010","2010","tonnes","24","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2745","Honey","2000","2000","tonnes","6","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2745","Honey","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2745","Honey","2010","2010","tonnes","10","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","14934","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","26785","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","27006","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","2531","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","87","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","342","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","753","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","450","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","54","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2733","Pigmeat","2000","2000","tonnes","9414","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2733","Pigmeat","2005","2005","tonnes","18030","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2733","Pigmeat","2010","2010","tonnes","18044","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2733","Pigmeat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2733","Pigmeat","2005","2005","tonnes","5","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2733","Pigmeat","2010","2010","tonnes","13","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2734","Poultry Meat","2000","2000","tonnes","13659","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2734","Poultry Meat","2005","2005","tonnes","21414","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5610","Import Quantity","2734","Poultry Meat","2010","2010","tonnes","28042","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2734","Poultry Meat","2000","2000","tonnes","2","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2734","Poultry Meat","2005","2005","tonnes","3","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","3","Albania","5910","Export Quantity","2734","Poultry Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2731","Bovine Meat","2000","2000","tonnes","11920","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2731","Bovine Meat","2005","2005","tonnes","99456","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2731","Bovine Meat","2010","2010","tonnes","44602","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2731","Bovine Meat","2000","2000","tonnes","34","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2731","Bovine Meat","2005","2005","tonnes","3","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2731","Bovine Meat","2010","2010","tonnes","63","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2744","Eggs","2000","2000","tonnes","3252","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2744","Eggs","2005","2005","tonnes","707","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2744","Eggs","2010","2010","tonnes","458","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2744","Eggs","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2744","Eggs","2005","2005","tonnes","1","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2744","Eggs","2010","2010","tonnes","1","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2745","Honey","2000","2000","tonnes","1","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2745","Honey","2005","2005","tonnes","280","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2745","Honey","2010","2010","tonnes","713","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2745","Honey","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2745","Honey","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2745","Honey","2010","2010","tonnes","2","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","1830418","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","2310604","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","2422068","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","2","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","12836","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","2937","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","6090","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","15336","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","27","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","3","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2733","Pigmeat","2000","2000","tonnes","29","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2733","Pigmeat","2005","2005","tonnes","118","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5610","Import Quantity","2733","Pigmeat","2010","2010","tonnes","79","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","4","Algeria","5910","Export Quantity","2733","Pigmeat","2000","2000","tonnes","0","S","Standardized data"
